year,city,my_city,world
1949,Dublin,9.85,8.59
1950,Dublin,8.70,8.37
1951,Dublin,8.48,8.63
1952,Dublin,8.56,8.64
1953,Dublin,9.39,8.87
1954,Dublin,8.67,8.56
1955,Dublin,8.85,8.63
1956,Dublin,8.66,8.28
1957,Dublin,9.33,8.73
1958,Dublin,8.91,8.77
1959,Dublin,9.72,8.73
1960,Dublin,8.98,8.58
1961,Dublin,9.08,8.80
1962,Dublin,8.24,8.75
1963,Dublin,8.04,8.86
1964,Dublin,8.99,8.41
1965,Dublin,8.31,8.53
1966,Dublin,8.88,8.60
1967,Dublin,8.83,8.70
1968,Dublin,8.85,8.52
1969,Dublin,8.61,8.60
1970,Dublin,8.94,8.70
1971,Dublin,9.40,8.60
1972,Dublin,8.56,8.50
1973,Dublin,9.06,8.95
1974,Dublin,8.76,8.47
1975,Dublin,9.37,8.74
1976,Dublin,9.16,8.35
1977,Dublin,8.84,8.85
1978,Dublin,8.89,8.69
1979,Dublin,8.12,8.73
1980,Dublin,8.85,8.98
1981,Dublin,8.78,9.17
1982,Dublin,9.08,8.64
1983,Dublin,9.37,9.03
1984,Dublin,9.07,8.69
1985,Dublin,8.34,8.66
1986,Dublin,8.03,8.83
1987,Dublin,8.66,8.99
1988,Dublin,9.16,9.20
1989,Dublin,9.57,8.92
1990,Dublin,9.59,9.23
1991,Dublin,9.07,9.18
1992,Dublin,9.07,8.84
1993,Dublin,8.85,8.87
1994,Dublin,9.13,9.04
1995,Dublin,9.75,9.35
1996,Dublin,8.85,9.04
1997,Dublin,9.95,9.20
1998,Dublin,9.71,9.52
1999,Dublin,9.75,9.29
2000,Dublin,9.43,9.20
2001,Dublin,9.27,9.41
2002,Dublin,9.75,9.57
2003,Dublin,9.80,9.53
2004,Dublin,9.77,9.32
2005,Dublin,9.91,9.70
2006,Dublin,10.00,9.53
2007,Dublin,10.11,9.73
2008,Dublin,9.42,9.43
2009,Dublin,9.47,9.51
2010,Dublin,8.38,9.70
2011,Dublin,9.76,9.52
2012,Dublin,9.28,9.51
2013,Dublin,9.28,9.61
